,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100,C0110,C0120,C0130,C0140,C0150,C0160,C0200
0,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0110,"52 522,79","92 261,44","0,00","599 527,40","364 595,77","9 432,43","291 728,77","89 134,58","34 067,00","120,99","50 450,07","0,00","0,00","0,00","0,00","0,00","1 583 841,23"
1,Brutto – reasekuracja czynna proporcjonalna,R0120,"0,00","0,00","0,00","3,65","1 922,22","890,39","28 099,37","2 717,14","-36,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","33 595,96"
2,Brutto – reasekuracja czynna nieproporcjonalna,R0130,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
3,Udział zakładu reasekuracji,R0140,"33 609,18","6 527,61","0,00","339 525,43","156 667,07","8 410,95","191 698,46","54 703,47","20 877,52","3,92","20 036,42","0,00","0,00","0,00","0,00","0,00","832 060,01"
4,Netto,R0200,"18 913,61","85 733,83","0,00","260 005,62","209 850,92","1 911,87","128 129,68","37 148,25","13 152,69","117,07","30 413,66","0,00","0,00","0,00","0,00","0,00","785 377,18"
5,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0210,"49 316,51","77 492,26","0,00","607 737,07","328 600,95","9 293,78","267 297,31","80 293,32","26 088,84","109,06","46 656,05","0,00","0,00","0,00","0,00","0,00","1 492 885,14"
6,Brutto – reasekuracja czynna proporcjonalna,R0220,"0,00","0,00","0,00","3,81","1 500,95","1 346,64","27 211,92","2 614,16","416,46","0,00","0,00","0,00","0,00","0,00","0,00","0,00","33 093,93"
7,Brutto – reasekuracja czynna nieproporcjonalna,R0230,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
8,Udział zakładu reasekuracji,R0240,"32 785,63","6 579,06","0,00","342 413,03","142 222,48","8 685,10","179 575,07","49 609,60","14 788,32","3,92","18 493,16","0,00","0,00","0,00","0,00","0,00","795 155,38"
9,Netto,R0300,"16 530,87","70 913,19","0,00","265 327,85","187 879,42","1 955,31","114 934,16","33 297,87","11 716,99","105,14","28 162,89","0,00","0,00","0,00","0,00","0,00","730 823,69"
10,Odszkodowania i świadczenia,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,
11,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0310,"15 991,60","25 044,76","0,00","288 183,37","219 590,57","4 773,54","142 151,32","26 176,27","18 623,81","37,38","21 394,22","0,00","0,00","0,00","0,00","0,00","761 966,86"
12,Brutto – reasekuracja czynna proporcjonalna,R0320,"0,00","0,06","0,00","0,86","1 522,84","592,32","14 929,24","873,54","36,89","0,00","0,00","0,00","0,00","0,00","0,00","0,00","17 955,75"
13,Brutto – reasekuracja czynna nieproporcjonalna,R0330,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
14,Udział zakładu reasekuracji,R0340,11 225,2 538,0,166 203,99 705,4 192,100 230,16 097,11 673,0,10 543,0,"0,00","0,00","0,00","0,00","422 405,64"
15,Netto,R0400,"4 766,77","22 506,82","0,00","121 981,12","121 408,49","1 174,06","56 850,95","10 952,46","6 987,30","37,38","10 851,60","0,00","0,00","0,00","0,00","0,00","357 516,96"
16,Zmiana stanu pozostałych rezerw techniczno- ubezpieczeniowych,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",
17,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0410,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
18,Brutto – reasekuracja czynna proporcjonalna,R0420,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
19,Brutto – reasekuracja czynna nieproporcjonalna,R0430,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
20,Udział zakładu reasekuracji,R0440,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
21,Netto,R0500,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
22,Koszty poniesione,R0550,"6 421,85","37 839,89","0,00","130 457,89","63 902,63","1 282,78","60 316,36","14 754,74","4 252,19","90,76","15 583,34","0,00","0,00","0,00","0,00","0,00","334 902,42"
23,Pozostałe koszty,R1200,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","37 517,07"
24,Koszty ogółem,R1300,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","372 419,49"
