,,,C0010
0,Wartości niematerialne i prawne,R0030,0
1,Aktywa z tytułu odroczonego podatku dochodowego,R0040,0
2,Nadwyżka na funduszu świadczeń emerytalnych,R0050,0
3,"Nieruchomości, maszyny i wyposażenie (Rzeczowe aktywa trwałe) wykorzystywane na użytek własny",R0060,261 821
4,"Lokaty (inne niż aktywa ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń związanych z ubezpieczeniowym funduszem kapitałowym)",R0070,7 641 603
5,Nieruchomości (inne niż do użytku własnego),R0080,16 512
6,"Udziały w zakładach powiązanych, w tym udziały kapitałowe",R0090,117 705
7,Akcje i udziały,R0100,0
8,Akcje i udziały – notowane,R0110,0
9,Akcje i udziały – nienotowane,R0120,0
10,Obligacje,R0130,7 469 050
11,Obligacje państwowe,R0140,7 469 050
12,Obligacje korporacyjne,R0150,0
13,Strukturyzowane papiery wartościowe,R0160,0
14,Zabezpieczone papiery wartościowe,R0170,0
15,Jednostki uczestnictwa oraz certyfikaty inwestycyjne w przedsiębiorstwach zbiorowego inwestowania,R0180,0
16,Instrumenty pochodne,R0190,0
17,Depozyty inne niż ekwiwalenty środków pieniężnych,R0200,38 336
18,Pozostałe lokaty,R0210,0
19,"Aktywa posiadane z tytułu ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń związanych z ubezpieczeniowym funduszem kapitałowym",R0220,0
20,Pożyczki i pożyczki zabezpieczone hipotecznie,R0230,204 694
21,Pożyczki pod zastaw polisy,R0240,0
22,Pożyczki i pożyczki zabezpieczone hipotecznie dla osób fizycznych,R0250,185
23,Pozostałe pożyczki i pożyczki zabezpieczone hipotecznie,R0260,204 509
24,Kwoty należne z umów reasekuracji dla zobowiązań wynikających z ubezpieczeń:,R0270,725 179
25,Innych niż ubezpieczenia na życie i zdrowotnych o charakterze ubezpieczeń innych niż ubezpieczenia na życie,R0280,607 427
26,Innych niż ubezpieczenia na życie z wyłączeniem zdrowotnych,R0290,602 841
