,,,C0010
2,Warto(cid:286)ci niematerialne i prawne,R0030,0
3,Aktywa z tytułu odroczonego podatku dochodowego,R0040,0
4,Nadwyżka na funduszu (cid:286)wiadczeń emerytalnych,R0050,0
5,"Nieruchomo(cid:286)ci, maszyny i wyposażenie (Rzeczowe aktywa trwałe) wykorzystywane na użytek własny",R0060,36 846
6,"Lokaty (inne niż aktywa dla ubezpieczeń na życie, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe i dla ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym)",R0070,3 934 390
7,Nieruchomo(cid:286)ci (inne niż do użytku własnego),R0080,0
8,"Udziały w jednostkach powiązanych, w tym udziały kapitałowe",R0090,264 397
9,Akcje i udziały,R0100,95 710
10,Akcje i udziały – notowane,R0110,86 626
11,Akcje i udziały – nienotowane,R0120,9 084
12,Dłużne papiery warto(cid:286)ciowe,R0130,3 328 424
13,Obligacje państwowe,R0140,2 842 889
14,Obligacje korporacyjne,R0150,485 535
15,Strukturyzowane papiery warto(cid:286)ciowe,R0160,0
16,Zabezpieczone papiery warto(cid:286)ciowe,R0170,0
17,Jednostki uczestnictwa oraz certyfikaty inwestycyjne w przedsiębiorstwach zbiorowego inwestowania,R0180,182 494
18,Instrumenty pochodne,R0190,522
19,Depozyty inne niż ekwiwalenty (cid:286)rodków pieniężnych,R0200,62 844
20,Pozostałe lokaty,R0210,0
21,"Aktywa dla ubezpieczeń na życie, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",R0220,0
22,Pożyczki i pożyczki zabezpieczone hipotecznie,R0230,0
23,Pożyczki pod zastaw polisy,R0240,0
24,Pożyczki i pożyczki zabezpieczone hipotecznie dla osób fizycznych,R0250,0
25,Pozostałe pożyczki i pożyczki zabezpieczone hipotecznie,R0260,0
26,Kwoty należne z umów reasekuracji dla zobowiązań wynikających zŚ,R0270,568 202
27,Ubezpieczenia inne niż ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,R0280,415 674
28,Ubezpieczeń innych niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),R0290,412 471
29,Ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,R0300,3 203
30,"Ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie, z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",R0310,152 528
31,Ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie,R0320,0
