,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100,C0110,C0120,C0130,C0140,C0150,C0160,C0200
0,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0110,35 245,152 442,0,2 673 233,2 153 150,41 402,1 464 574,410 959,173 954,1 353,283 137,75 979,,,,,7 465 426
1,Brutto – Przyjęta reasekuracja proporcjonalna,R0120,-6 372,-6 401,0,19 403,6 898,2 228,171 763,29 047,0,0,-3,19 091,,,,,235 653
2,Brutto – Przyjęta reasekuracja nieproporcjonalna,R0130,,,,,,,,,,,,,0,847,0,1 061,1 908
3,Udział zakładów reasekuracji,R0140,0,166,0,241 998,15 280,7 123,351 798,39 571,92 490,-1,32,61 228,0,357,0,177,810 220
4,Netto,R0200,28 872,145 875,0,2 450 638,2 144 768,36 507,1 284 538,400 434,81 464,1 354,283 102,33 842,0,490,0,884,6 892 769
5,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0210,36 653,171 108,0,2 667 464,1 932 350,41 364,1 248 122,384 982,153 972,1 306,247 021,106 331,,,,,6 990 674
6,Brutto – Przyjęta reasekuracja proporcjonalna,R0220,70 415,70 979,0,26 879,6 828,2 228,169 450,31 696,0,0,142,111 328,,,,,489 945
7,Brutto – Przyjęta reasekuracja nieproporcjonalna,R0230,,,,,,,,,,,,,0,1 731,0,515,2 246
8,Udział zakładów reasekuracji,R0240,0,554,0,213 616,13 455,5 380,331 481,43 367,84 019,45,72,52 734,0,334,0,152,745 209
9,Netto,R0300,107 069,241 534,0,2 480 727,1 925 723,38 212,1 086 091,373 311,69 953,1 261,247 091,164 924,0,1 397,0,363,6 737 657
10,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0310,11 354,16 954,0,1 666 620,1 245 457,18 389,458 336,169 613,43 030,188,164 472,18 743,,,,,3 813 156
11,Brutto – Przyjęta reasekuracja proporcjonalna,R0320,1 147,277,0,19 655,4 136,1,130 168,8 479,0,0,104,45 969,,,,,209 937
12,Brutto – Przyjęta reasekuracja nieproporcjonalna,R0330,,,,,,,,,,,,,0,25,0,-3 662,-3 637
13,Udział zakładów reasekuracji,R0340,0,264,0,147 410,3 998,2 469,195 268,21 415,23 015,0,5,41 688,0,9,0,-1 947,433 595
14,Netto,R0400,12 501,16 968,0,1 538 865,1 245 594,15 921,393 236,156 677,20 015,188,164 571,23 024,0,17,0,-1 715,3 585 861
16,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0410,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
17,Brutto – Przyjęta reasekuracja proporcjonalna,R0420,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
18,Brutto – Przyjęta reasekuracja nieproporcjonalna,R0430,,,,,,,,,,,,,0,0,0,0,0
19,Udział zakładów reasekuracji,R0440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Netto,R0500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Koszty poniesione,R0550,83 945,132 958,0,820 492,570 507,12 592,675 215,161 566,22 109,377,87 174,139 913,0,185,0,43,2 707 075
22,Pozostałe koszty,R1200,,,,,,,,,,,,,,,,,163 474
23,Koszty ogółem,R1300,,,,,,,,,,,,,,,,,2 870 549
