,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100,C0110,C0120,C0130,C0140,C0150,C0160,C0200
0,Brutto – Bezpo(cid:286)rednia działalno(cid:286)ć ubezpieczeniowa,R0110,43 270,91 578,0,595 480,410 255,11 943,344 152,103 169,34 442,149,55 203,0,0,0,0,0,1 689 641
1,Brutto – reasekuracja czynna proporcjonalna,R0120,0,0,0,3,1 978,1 651,34 004,3 956,0,0,0,0,0,0,0,0,41 592
2,Brutto – reasekuracja czynna nieproporcjonalna,R0130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Udział zakładu reasekuracji,R0140,25 974,6 352,0,416 882,174 726,11 020,221 668,64 024,19 872,3,21 839,0,0,0,0,0,962 361
4,Netto,R0200,17 296,85 226,0,178 600,237 507,2 574,156 488,43 101,14 570,145,33 364,0,0,0,0,0,768 871
5,Brutto – Bezpo(cid:286)rednia działalno(cid:286)ć ubezpieczeniowa,R0210,41 632,89 980,0,595 512,388 401,12 172,303 746,94 819,28 430,136,52 687,0,0,0,0,0,1 607 514
6,Brutto – reasekuracja czynna proporcjonalna,R0220,0,0,0,3,1 954,1 477,28 843,3 218,175,0,0,0,0,0,0,0,35 671
7,Brutto – reasekuracja czynna nieproporcjonalna,R0230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Udział zakładu reasekuracji,R0240,25 729,6 370,0,417 407,166 568,11 061,201 500,59 441,15 737,3,20 930,0,0,0,0,0,924 747
9,Netto,R0300,15 903,83 610,0,178 107,223 787,2 588,131 089,38 595,12 868,133,31 757,0,0,0,0,0,718 437
10,Brutto – Bezpo(cid:286)rednia działalno(cid:286)ć ubezpieczeniowa,R0310,5 109,28 091,0,316 758,255 879,4 937,193 918,22 958,25 232,-4,10 132,0,0,0,0,0,863 011
11,Brutto – reasekuracja czynna proporcjonalna,R0320,0,0,0,0,810,443,41 705,907,-46,0,0,0,0,0,0,0,43 819
12,Brutto – reasekuracja czynna nieproporcjonalna,R0330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Udział zakładu reasekuracji,R0340,3 606,1 938,0,199 963,116 352,4 367,158 492,13 650,17 293,0,7 423,0,0,0,0,0,523 085
14,Netto,R0400,1 503,26 153,0,116 795,140 337,1 013,77 131,10 215,7 892,-4,2 709,0,0,0,0,0,383 745
15,Brutto – Bezpo(cid:286)rednia działalno(cid:286)ć ubezpieczeniowa,R0410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Brutto – reasekuracja czynna proporcjonalna,R0420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Brutto – reasekuracja czynna nieproporcjonalna,R0430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Udział zakładu reasekuracji,R0440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Netto,R0500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Koszty poniesione,R0550,6 396,40 245,0,118 423,76 594,1 098,70 000,18 011,6 011,119,16 282,0,0,0,0,0,353 179
21,Pozostałe koszty,R1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39 699
22,Koszty ogółem,R1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392 877
