,,,C0010
2,Warto(cid:286)ci niematerialne i prawne,R0030,0
3,Aktywa z tytułu odroczonego podatku dochodowego,R0040,13 624
4,Nadwyżka na funduszu (cid:286)wiadczeń emerytalnych,R0050,0
5,"Nieruchomo(cid:286)ci, maszyny i wyposażenie (Rzeczowe aktywa trwałe) wykorzystywane na użytek własny",R0060,90 624
6,"Lokaty (inne niż aktywa dla ubezpieczeń na życie, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe i dla ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym)",R0070,3 689 818
7,Nieruchomo(cid:286)ci (inne niż do użytku własnego),R0080,0
8,"Udziały w jednostkach powiązanych, w tym udziały kapitałowe",R0090,279 700
9,Akcje i udziały,R0100,19 920
10,Akcje i udziały – notowane,R0110,4 842
11,Akcje i udziały – nienotowane,R0120,15 078
12,Dłużne papiery warto(cid:286)ciowe,R0130,3 101 053
13,Obligacje państwowe,R0140,2 672 528
14,Obligacje korporacyjne,R0150,428 524
15,Strukturyzowane papiery warto(cid:286)ciowe,R0160,0
16,Zabezpieczone papiery warto(cid:286)ciowe,R0170,0
17,Jednostki uczestnictwa oraz certyfikaty inwestycyjne w przedsiębiorstwach zbiorowego inwestowania,R0180,166 704
18,Instrumenty pochodne,R0190,1 129
19,Depozyty inne niż ekwiwalenty (cid:286)rodków pieniężnych,R0200,121 312
20,Pozostałe lokaty,R0210,0
21,"Aktywa dla ubezpieczeń na życie, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",R0220,0
22,Pożyczki i pożyczki zabezpieczone hipotecznie,R0230,0
23,Pożyczki pod zastaw polisy,R0240,0
24,Pożyczki i pożyczki zabezpieczone hipotecznie dla osób fizycznych,R0250,0
25,Pozostałe pożyczki i pożyczki zabezpieczone hipotecznie,R0260,0
26,Kwoty należne z umów reasekuracji dla zobowiązań wynikających zŚ,R0270,554 071
27,Ubezpieczenia inne niż ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,R0280,391 767
28,Ubezpieczeń innych niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),R0290,407 552
29,Ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,R0300,-15 785
30,"Ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie, z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",R0310,162 305
31,Ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie,R0320,0
32,"Ubezpieczenia na życie z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",R0330,162 305
33,"Ubezpieczenia na życie, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe, i ubezpieczenia na życie z ubezpieczeniowym funduszem kapitałowym",R0340,0
34,Depozyty u cedentów,R0350,0
35,Należno(cid:286)ci z tytułu ubezpieczeń i od po(cid:286)redników ubezpieczeniowych,R0360,118 127
36,Należno(cid:286)ci z tytułu reasekuracji biernej,R0370,211 102
37,"Pozostałe należno(cid:286)ci (handlowe, inne niż z działalno(cid:286)ci ubezpieczeniowej)",R0380,23 392
38,Akcje własne (posiadane bezpo(cid:286)rednio),R0390,0
39,"Kwoty należne, dotyczące pozycji (cid:286)rodków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale które nie zostały jeszcze opłacone.",R0400,0
40,(cid:285)rodki pieniężne i ekwiwalenty (cid:286)rodków pieniężnych,R0410,42 819
41,Pozostałe aktywa (niewykazane w innych pozycjach),R0420,3 968
42,Aktywa ogółem,R0500,4 747 545
43,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,R0510,2 658 745
44,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),R0520,2 587 284
45,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0530,0
46,Najlepsze oszacowanie,R0540,2 466 987
47,Margines ryzyka,R0550,120 297
48,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia na życie),R0560,71 461
49,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0570,0
50,Najlepsze oszacowanie,R0580,69 522
51,Margines ryzyka,R0590,1 939
52,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",R0600,457 627
53,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),R0610,0
54,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0620,0
55,Najlepsze oszacowanie,R0630,0
56,Margines ryzyka,R0640,0
57,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",R0650,457 627
58,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0660,0
59,Najlepsze oszacowanie,R0670,442 479
60,Margines ryzyka,R0680,15 148
61,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia, w których (cid:286)wiadczenie jest ustalane w oparciu o okre(cid:286)lone indeksy lub inne warto(cid:286)ci bazowe i ubezpieczenia z ubezpieczeniowym funduszem kapitałowym",R0690,0
62,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0700,0
63,Najlepsze oszacowanie,R0710,0
64,Margines ryzyka,R0720,0
65,Zobowiązania warunkowe,R0740,0
66,Pozostałe rezerwy (inne niż rezerwy techniczno-ubezpieczeniowe),R0750,32 785
67,Zobowiązania z tytułu (cid:286)wiadczeń emerytalnych dla pracowników,R0760,1 946
68,Zobowiązania z tytułu depozytów zakładów reasekuracji,R0770,0
69,Rezerwy z tytułu odroczonego podatku dochodowego,R0780,0
70,Instrumenty pochodne,R0790,209
71,Zobowiązania wobec instytucji kredytowych,R0800,0
72,Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych,R0810,59 195
73,Zobowiązania z tytułu ubezpieczeń i wobec po(cid:286)redników ubezpieczeniowych,R0820,247 210
74,Zobowiązania z tytułu reasekuracji biernej,R0830,35 447
75,"Pozostałe zobowiązania (handlowe, inne niż z tytułu działalno(cid:286)ci ubezpieczeniowej)",R0840,20 696
76,Zobowiązania podporządkowane,R0850,102 704
77,Zobowiązania podporządkowane nieuwzględnione w podstawowych (cid:286)rodkach własnych,R0860,3 045
78,Zobowiązania podporządkowane uwzględnione w podstawowych (cid:286)rodkach własnych,R0870,99 659
79,Pozostałe zobowiązania (niewykazane w innych pozycjach),R0880,57 690
80,Zobowiązania ogółem,R0900,3 674 254
81,Nadwyżka aktywów nad zobowiązaniami,R1000,1 073 291
