,,,C0010
2,Wartości niematerialne i prawne,R0030,0
3,Aktywa z tytułu odroczonego podatku dochodowego,R0040,0
4,Nadwyżka na funduszu świadczeń emerytalnych,R0050,0
5,"Nieruchomości, maszyny i wyposażenie (Rzeczowe aktywa trwałe) wykorzystywane na użytek własny",R0060,18 778
6,"Lokaty (inne niż aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i dla ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym)",R0070,3 015 928
7,Nieruchomości (inne niż do użytku własnego),R0080,0
8,"Udziały w jednostkach powiązanych, w tym udziały kapitałowe",R0090,252 704
9,Akcje i udziały,R0100,26 104
10,Akcje i udziały – notowane,R0110,26 104
11,Akcje i udziały – nienotowane,R0120,0
12,Dłużne papiery wartościowe,R0130,2 636 148
13,Obligacje państwowe,R0140,2 402 466
14,Obligacje korporacyjne,R0150,233 683
15,Strukturyzowane papiery wartościowe,R0160,0
16,Zabezpieczone papiery wartościowe,R0170,0
17,Jednostki uczestnictwa oraz certyfikaty inwestycyjne w przedsiębiorstwach zbiorowego inwestowania,R0180,48 575
18,Instrumenty pochodne,R0190,332
19,Depozyty inne niż ekwiwalenty środków pieniężnych,R0200,52 066
20,Pozostałe lokaty,R0210,0
21,"Aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",R0220,0
22,Pożyczki i pożyczki zabezpieczone hipotecznie,R0230,0
23,Pożyczki pod zastaw polisy,R0240,0
24,Pożyczki i pożyczki zabezpieczone hipotecznie dla osób fizycznych,R0250,0
25,Pozostałe pożyczki i pożyczki zabezpieczone hipotecznie,R0260,0
26,Kwoty należne z umów reasekuracji dla zobowiązań wynikających z:,R0270,703 524
27,Ubezpieczenia inne niż ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,R0280,546 567
28,Ubezpieczeń innych niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),R0290,542 666
29,Ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,R0300,3 902
30,"Ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie, z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",R0310,156 956
31,Ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie,R0320,0
32,"Ubezpieczenia na życie z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",R0330,156 956
33,"Ubezpieczenia na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczenia na życie z ubezpieczeniowym funduszem kapitałowym",R0340,0
34,Depozyty u cedentów,R0350,0
35,Należności z tytułu ubezpieczeń i od pośredników ubezpieczeniowych,R0360,88 229
36,Należności z tytułu reasekuracji biernej,R0370,117 444
37,"Pozostałe należności (handlowe, inne niż z działalności ubezpieczeniowej)",R0380,7 715
38,Akcje własne (posiadane bezpośrednio),R0390,0
39,"Kwoty należne, dotyczące pozycji środków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale które nie zostały jeszcze opłacone.",R0400,0
40,Środki pieniężne i ekwiwalenty środków pieniężnych,R0410,5 795
41,Pozostałe aktywa (niewykazane w innych pozycjach),R0420,3 380
42,Aktywa ogółem,R0500,3 960 792
43,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,R0510,2 289 262
44,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),R0520,2 243 744
45,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0530,0
46,Najlepsze oszacowanie,R0540,2 101 230
47,Margines ryzyka,R0550,142 514
48,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia na życie),R0560,45 517
49,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0570,0
50,Najlepsze oszacowanie,R0580,43 812
51,Margines ryzyka,R0590,1 706
52,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",R0600,394 530
53,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),R0610,0
54,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0620,0
55,Najlepsze oszacowanie,R0630,0
56,Margines ryzyka,R0640,0
57,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",R0650,394 530
58,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0660,0
59,Najlepsze oszacowanie,R0670,382 023
60,Margines ryzyka,R0680,12 508
61,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczenia z ubezpieczeniowym funduszem kapitałowym",R0690,0
62,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0700,0
63,Najlepsze oszacowanie,R0710,0
64,Margines ryzyka,R0720,0
65,Zobowiązania warunkowe,R0740,0
66,Pozostałe rezerwy (inne niż rezerwy techniczno-ubezpieczeniowe),R0750,25 710
67,Zobowiązania z tytułu świadczeń emerytalnych dla pracowników,R0760,973
68,Zobowiązania z tytułu depozytów zakładów reasekuracji,R0770,0
69,Rezerwy z tytułu odroczonego podatku dochodowego,R0780,46 769
