,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100,C0110,C0120,C0130,C0140,C0150,C0160,C0200
0,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0110,22 297,148 258,0,2 494 744,1 529 304,28 210,1 126 514,331 157,164 368,1 140,177 525,56 259,,,,,6 079 777
1,Brutto – Przyjęta reasekuracja proporcjonalna,R0120,71 242,72 896,0,41 956,4 692,566,129 728,13 991,0,0,354,109 337,,,,,444 762
2,Brutto – Przyjęta reasekuracja nieproporcjonalna,R0130,,,,,,,,,,,,,0,1 529,0,79,1 608
3,Udział zakładów reasekuracji,R0140,148,676,0,164 415,5 813,4 120,250 991,36 052,87 105,383,83,46 932,0,0,0,58,596 775
4,Netto,R0200,93 392,220 478,0,2 372 285,1 528 183,24 655,1 005 252,309 095,77 263,757,177 797,118 664,0,1 529,0,21,5 929 372
5,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0210,28 828,170 286,0,2 406 189,1 437 350,27 422,1 005 053,315 460,130 723,1 126,163 706,111 060,,,,,5 797 203
6,Brutto – Przyjęta reasekuracja proporcjonalna,R0220,71 159,73 209,0,46 571,4 085,281,118 695,19 934,0,0,384,106 707,,,,,441 026
7,Brutto – Przyjęta reasekuracja nieproporcjonalna,R0230,,,,,,,,,,,,,0,431,0,1 653,2 085
8,Udział zakładów reasekuracji,R0240,222,4 729,0,86 962,8 244,3 682,300 558,36 286,70 741,357,542,38 975,0,0,0,980,552 278
9,Netto,R0300,99 765,238 766,0,2 365 798,1 433 190,24 021,823 190,299 108,59 981,769,163 548,178 792,0,431,0,673,5 688 034
10,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0310,13 377,23 072,0,1 395 153,912 693,19 792,336 689,163 428,67 070,289,81 524,42 749,,,,,3 055 836
11,Brutto – Przyjęta reasekuracja proporcjonalna,R0320,221,333,0,30 985,1 608,-1,92 252,4 178,0,0,228,4 891,,,,,134 694
12,Brutto – Przyjęta reasekuracja nieproporcjonalna,R0330,,,,,,,,,,,,,0,0,0,1 919,1 919
13,Udział zakładów reasekuracji,R0340,0,2 032,0,57 310,2 003,6 468,136 396,25 377,35 832,-2,24,26 225,0,0,0,-584,291 082
14,Netto,R0400,13 598,21 373,0,1 368 827,912 298,13 323,292 544,142 229,31 238,291,81 728,21 415,0,0,0,2 503,2 901 367
16,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0410,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
17,Brutto – Przyjęta reasekuracja proporcjonalna,R0420,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
18,Brutto – Przyjęta reasekuracja nieproporcjonalna,R0430,,,,,,,,,,,,,0,0,0,0,0
19,Udział zakładów reasekuracji,R0440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Netto,R0500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Koszty poniesione,R0550,86 107,134 538,0,717 196,380 805,7 893,517 560,128 084,21 774,185,78 033,154 855,0,88,0,87,2 227 204
22,Pozostałe koszty,R1200,,,,,,,,,,,,,,,,,199 305
23,Koszty ogółem,R1300,,,,,,,,,,,,,,,,,2 426 509
