,,,C0010,C0020,C0030,C0040,C0050
0,Kapitał zakładowy (wraz z akcjami własnymi),R0010,236 509,236 509,0,0,0
1,Nadwyżka ze sprzedaży akcji powyżej ich warto(cid:286)ci nominalnej związana z kapitałem zakładowym,R0030,20 751,20 751,0,0,0
2,"Kapitał założycielski, wkłady/składki członkowskie lub równoważna pozycja podstawowych (cid:286)rodków własnych w przypadku towarzystw ubezpieczeń wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpieczeń opartych na zasadzie wzajemno(cid:286)ci",R0040,0,0,0,0,0
3,"Podporządkowane fundusze udziałowe/członkowskie w przypadku towarzystw ubezpieczeń wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpieczeń opartych na zasadzie wzajemno(cid:286)ci",R0050,0,0,0,0,0
4,Fundusze nadwyżkowe,R0070,0,0,0,0,0
5,Akcje uprzywilejowane,R0090,0,0,0,0,0
6,Nadwyżka ze sprzedaży akcji powyżej ich warto(cid:286)ci nominalnej związana z akcjami uprzywilejowanymi,R0110,0,0,0,0,0
7,Rezerwa uzgodnieniowa,R0130,611 229,611 229,0,0,0
8,Zobowiązania podporządkowane,R0140,99 659,0,0,99 659,0
9,Kwota odpowiadająca warto(cid:286)ci aktywów netto z tytułu odroczonego podatku dochodowego,R0160,13 624,0,0,0,13 624
10,"Pozostałe pozycje (cid:286)rodków własnych zatwierdzone przez organ nadzoru jako podstawowe (cid:286)rodki własne, n(cid:285)ireowdykmi iwenłaiosnnee pzoew sypżreajwozdań finansowych, które nie",R0180,0,0,0,0,0
11,"(cid:285)rodki własne ze sprawozdań finansowych, które nie powinny być uwzględnione w rezerwie uzgodnieniowej i nie spełniają kryteriów klasyfikacji jako (cid:286)rodki własne wg Wypłacalno(cid:286)ć II",R0220,0,0,0,0,0
12,Warto(cid:286)ć odliczeń z tytułu udziałów kapitałowych w instytucjach finansowych i kredytowych,R0230,0,0,0,0,0
13,Podstawowe (cid:286)rodki własne ogółem po odliczeniach,R0290,981 772,868 489,0,99 659,13 624
14,"Nieopłacony kapitał zakładowy, do którego opłacenia nie wezwano i który może być wezwany do opłacenia na żądanie",R0300,0,0,0,0,0
15,"Nieopłacony kapitał założycielski, wkłady/składki członkowskie lub równoważna pozycja podstawowych (cid:286)rodków własnych w przypadku towarzystw ubezpieczeń wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpieczeń opartych na zasadzie wzajemno(cid:286)ci, do których opłacenia nie wezwano i które mogą być wezwane do opłacenia na żądanie",R0310,0,0,0,0,0
16,"Nieopłacone akcje uprzywilejowane, do których opłacenia nie wezwano i które mogą być wezwane do opłacenia na żądanie",R0320,0,0,0,0,0
17,Prawnie wiążące zobowiązanie do subskrypcji i opłacenia na żądanie zobowiązań podporządkowanych,R0330,0,0,0,0,0
18,Akredytywy i gwarancje zgodne z art. 96 pkt 2 dyrektywy 2009/138/WE,R0340,0,0,0,0,0
19,Akredytywy i gwarancje inne niż zgodne z art. 96 pkt 2 dyrektywy 2009/138/WE,R0350,0,0,0,0,0
20,Dodatkowe wkłady od członków zgodnie z art. 96 ust. 3 akapit pierwszy dyrektywy 2009/138/WE,R0360,0,0,0,0,0
21,Dodatkowe wkłady od członków – inne niż zgodnie z art. 96 ust. 3 akapit pierwszy dyrektywy 2009/138/WE,R0370,0,0,0,0,0
22,Pozostałe uzupełniające (cid:286)rodki własne,R0390,0,0,0,0,0
23,Uzupełniające (cid:286)rodki własne ogółem,R0400,0,0,0,0,0
24,Kwota dostępnych (cid:286)rodków własnych na pokrycie kapitałowego wymogu wypłacalno(cid:286)ci (SCR),R0500,981 772,868 489,0,99 659,13 624
25,Kwota dostępnych (cid:286)rodków własnych na pokrycie MCR,R0510,968 148,868 489,0,99 659,0
26,Kwota dopuszczonych (cid:286)rodków własnych na pokrycie SCR,R0540,981 772,868 489,0,99 659,13 624
27,Kwota dopuszczonych (cid:286)rodków własnych na pokrycie MCR,R0550,921 545,868 489,0,53 056,0
28,SCR,R0580,589 510,0,0,0,0
29,MCR,R0600,265 280,0,0,0,0
30,Stosunek dopuszczonych (cid:286)rodków własnych do SCR,R0620,"166,5%","0,00","0,00","0,00","0,00"
31,Stosunek dopuszczonych (cid:286)rodków własnych do MCR,R0640,"347,4%","0,00","0,00","0,00","0,00"
