,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100,C0110,C0120,C0130,C0140,C0150,C0160,C0200
0,Brutto – Bezpo(cid:286)rednia działalno(cid:286)ć ubezpieczeniowa,R0110,96 351,125 209,0,447 783,516 398,25 180,964 045,166 401,55 179,2 421,58 419,2 978,0,0,0,0,2 460 363
1,Brutto – Reasekuracja czynna proporcjonalna,R0120,0,0,0,3 828,12 990,1 064,39 336,3 460,0,0,0,0,0,0,0,0,60 678
2,Brutto – Reasekuracja czynna nieproporcjonalna,R0130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Udział zakładu reasekuracji,R0140,65 970,13 671,0,198 134,168 883,20 882,662 940,97 983,37 100,9,23 061,95,0,0,0,0,1 288 729
4,Netto,R0200,30 381,111 538,0,253 477,360 504,5 362,340 441,71 879,18 079,2 412,35 357,2 884,0,0,0,0,1 232 313
5,Brutto – Bezpo(cid:286)rednia działalno(cid:286)ć ubezpieczeniowa,R0210,96 132,122 798,0,464 238,526 350,27 313,1 016 629,163 208,42 279,3 471,58 713,2 870,0,0,0,0,2 524 002
6,Brutto – Reasekuracja czynna proporcjonalna,R0220,0,0,0,3 828,13 126,1 456,47 257,3 627,0,0,0,0,0,0,0,0,69 293
7,Brutto – Reasekuracja czynna nieproporcjonalna,R0230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Udział zakładu reasekuracji,R0240,65 951,13 628,0,204 276,174 095,22 820,702 417,96 970,27 959,9,22 551,95,0,0,0,0,1 330 771
9,Netto,R0300,30 180,109 170,0,263 790,365 382,5 949,361 468,69 864,14 320,3 462,36 162,2 775,0,0,0,0,1 262 523
10,Brutto – Bezpo(cid:286)rednia działalno(cid:286)ć ubezpieczeniowa,R0310,36 161,47 651,0,277 209,317 081,8 021,390 576,77 030,17 429,-576,29 804,-17,0,0,0,0,1 200 369
11,Brutto – Reasekuracja czynna proporcjonalna,R0320,0,0,0,1 231,4 305,2 636,3 835,1 216,-85,0,0,0,0,0,0,0,13 138
12,Brutto – Reasekuracja czynna nieproporcjonalna,R0330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Udział zakładu reasekuracji,R0340,25 348,3 518,0,107 325,110 295,6 795,237 270,44 279,12 714,0,13 134,-56,0,0,0,0,560 623
14,Netto,R0400,10 813,44 134,0,171 115,211 091,3 861,157 140,33 967,4 630,-576,16 670,39,0,0,0,0,652 885
15,Koszty poniesione,R0550,17 039,56 890,0,103 598,136 526,1 390,138 472,36 314,6 891,2 253,20 504,500,0,0,0,0,520 378
16,Saldo – pozostałe koszty/przychody techniczne,R1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 891
17,Koszty ogółem,R1300,5 281,6 834,0,36 546,26 780,1 502,37 971,8 030,4 120,136,3 337,101,0,0,0,0,546 269
