,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100,C0110,C0120,C0130,C0140,C0150,C0160,C0200
0,Brutto – Bezpo(cid:286)rednia działalno(cid:286)ć ubezpieczeniowa,R0110,84 891,120 959,0,503 989,540 224,26 633,1 045 348,156 152,60 231,4 340,58 798,3 407,0,0,0,0,2 604 971
1,Brutto – reasekuracja czynna proporcjonalna,R0120,0,0,0,1 354,10 212,1 372,44 511,2 909,0,0,0,0,0,0,0,0,60 359
2,Brutto – reasekuracja czynna nieproporcjonalna,R0130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Udział zakładu reasekuracji,R0140,57 748,12 253,0,221 495,181 328,22 483,751 560,96 062,37 972,6,21 749,136,0,0,0,0,1 402 792
4,Netto,R0200,27 142,108 705,0,283 847,369 107,5 522,338 300,63 000,22 259,4 334,37 050,3 270,0,0,0,0,1 262 538
5,Brutto – Bezpo(cid:286)rednia działalno(cid:286)ć ubezpieczeniowa,R0210,83 078,120 327,0,574 392,559 294,21 890,929 419,143 709,40 303,4 414,62 101,3 365,0,0,0,0,2 542 292
6,Brutto – reasekuracja czynna proporcjonalna,R0220,0,0,0,1 355,8 008,1 141,34 943,3 059,0,0,0,0,0,0,0,0,48 505
7,Brutto – reasekuracja czynna nieproporcjonalna,R0230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Udział zakładu reasekuracji,R0240,56 483,12 330,0,253 157,191 811,18 204,651 646,86 206,23 796,6,23 119,185,0,0,0,0,1 316 943
9,Netto,R0300,26 594,107 997,0,322 590,375 491,4 826,312 716,60 562,16 507,4 408,38 982,3 181,0,0,0,0,1 273 854
10,Brutto – Bezpo(cid:286)rednia działalno(cid:286)ć ubezpieczeniowa,R0310,32 005,34 274,0,378 024,331 381,15 414,399 324,63 950,28 489,761,32 526,403,0,0,0,0,1 316 551
11,Brutto – reasekuracja czynna proporcjonalna,R0320,0,0,0,505,3 674,821,18 146,2 056,-12,0,0,0,0,0,0,0,25 190
12,Brutto – reasekuracja czynna nieproporcjonalna,R0330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Udział zakładu reasekuracji,R0340,21 930,2 568,0,156 275,115 670,12 236,263 339,35 583,20 941,0,11 703,348,0,0,0,0,640 594
14,Netto,R0400,10 074,31 706,0,222 255,219 386,3 999,154 131,30 422,7 536,761,20 823,55,0,0,0,0,701 148
15,Brutto – Bezpo(cid:286)rednia działalno(cid:286)ć ubezpieczeniowa,R0410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Brutto – reasekuracja czynna proporcjonalna,R0420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Brutto – reasekuracja czynna nieproporcjonalna,R0430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Udział zakładu reasekuracji,R0440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Netto,R0500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Koszty poniesione,R0550,11 363,51 731,0,100 977,131 713,1 506,110 193,30 418,9 240,3 060,21 343,586,0,0,0,0,472 131
21,Pozostałe koszty,R1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31 871
22,Koszty ogółem,R1300,5 281,6 834,0,36 546,26 780,1 502,37 971,8 030,4 120,136,3 337,101,0,0,0,0,504 002
