,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100,C0110,C0120,C0130,C0140,C0150,C0160,C0200
0,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0110,51 668,155 160,0,2 664 948,2 497 235,49 120,1 436 191,475 629,198 340,1 537,347 894,88 011,,,,,7 965 732
1,Brutto – Reasekuracja czynna proporcjonalna,R0120,-5 899,-5 704,0,33 840,8 310,2 016,194 396,32 869,723,0,-2,18 189,,,,,278 739
2,Brutto – Reasekuracja czynna nieproporcjonalna,R0130,,,,,,,,,,,,,0,2 851,0,912,3 763
3,Udział zakładów reasekuracji,R0140,0,128,0,229 477,14 987,8 542,321 593,47 586,94 797,0,0,49 520,0,388,0,68 698,835 715
4,Netto,R0200,45 768,149 329,0,2 469 311,2 490 558,42 594,1 308 995,460 911,104 266,1 536,347 892,56 680,0,2 463,0,-67 786,7 412 519
5,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0210,52 344,168 493,0,2 646 237,2 336 669,48 052,1 435 680,458 255,168 797,1 564,307 818,110 077,,,,,7 733 985
6,Brutto – Reasekuracja czynna proporcjonalna,R0220,50 751,50 749,0,30 543,10 432,3 110,183 485,32 860,690,2,0,94 960,,,,,457 582
7,Brutto – Reasekuracja czynna nieproporcjonalna,R0230,,,,,,,,,,,,,0,1 805,0,841,2 645
8,Udział zakładów reasekuracji,R0240,0,310,0,228 922,14 106,7 989,390 285,47 442,91 670,0,22,66 252,0,388,0,196,847 581
9,Netto,R0300,103 095,218 933,0,2 447 857,2 332 995,43 173,1 228 880,443 673,77 817,1 566,307 796,138 784,0,1 417,0,645,7 346 631
10,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0310,29 377,17 948,0,1 668 445,1 459 157,13 800,542 470,230 061,37 705,-66,199 945,27 502,,,,,4 226 344
11,Brutto – Reasekuracja czynna proporcjonalna,R0320,1 253,-743,0,31 037,4 091,242,76 898,12 538,0,0,-201,63 450,,,,,188 565
12,Brutto – Reasekuracja czynna nieproporcjonalna,R0330,,,,,,,,,,,,,0,814,0,-1 026,-212
13,Udział zakładów reasekuracji,R0340,0,213,0,146 101,3 565,1 088,219 858,22 909,16 779,-3,-14,71 024,0,78,0,-766,480 832
14,Netto,R0400,30 630,16 991,0,1 553 382,1 459 684,12 955,399 510,219 689,20 926,-64,199 758,19 928,0,735,0,-260,3 933 864
15,Koszty poniesione,R0550,71 741,111 003,0,828 952,697 009,14 728,745 144,192 559,23 629,602,104 146,110 714,0,293,0,64,2 900 584
16,Saldo – pozostałe koszty/przychody techniczne,R1200,,,,,,,,,,,,,,,,,125 120
17,Koszty ogółem,R1300,,,,,,,,,,,,,,,,,3 025 705
