,,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100,C0110,C0120,C0130,C0140,C0150,C0160,C0200
0,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0110,43 562,205 220,0,2 382 181,1 386 677,23 133,1 096 239,295 466,157 703,1 067,153 685,144 540,,,,,5 889 473
1,Brutto – Przyjęta reasekuracja proporcjonalna,R0120,82 925,84 915,0,61 740,2 883,484,102 872,25 867,0,0,420,121 250,,,,,483 356
2,Brutto – Przyjęta reasekuracja nieproporcjonalna,R0130,,,,,,,,,,,,,0,0,0,2 689,2 689
3,Udział zakładów reasekuracji,R0140,215,10 661,0,32 172,5 196,1 896,208 159,36 565,76 219,336,728,32 084,0,0,0,2 427,406 659
4,Netto,R0200,126 272,279 474,0,2 411 749,1 384 364,21 721,990 951,284 769,81 484,731,153 377,233 705,0,0,0,262,5 968 859
5,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0210,57 494,182 678,0,2 396 560,1 364 531,21 850,919 848,281 895,118 559,986,156 492,125 576,,,,,5 626 469
6,Brutto – Przyjęta reasekuracja proporcjonalna,R0220,52 699,54 575,0,48 135,2 341,454,125 465,15 077,0,0,320,80 924,,,,,379 991
7,Brutto – Przyjęta reasekuracja nieproporcjonalna,R0230,,,,,,,,,,,,,0,0,0,1 817,1 817
8,Udział zakładów reasekuracji,R0240,175,12 518,0,77 383,9 893,2 267,356 992,28 662,59 088,268,1 023,30 122,0,0,0,1 535,579 925
9,Netto,R0300,110 019,224 735,0,2 367 312,1 356 980,20 037,688 321,268 310,59 471,718,155 789,176 378,0,0,0,282,5 428 352
10,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0310,22 310,35 377,0,1 463 013,907 058,9 730,456 211,161 513,60 377,291,83 995,20 973,,,,,3 220 849
11,Brutto – Przyjęta reasekuracja proporcjonalna,R0320,88,440,0,32 562,1 589,–277,72 652,2 672,0,0,203,3 994,,,,,113 922
12,Brutto – Przyjęta reasekuracja nieproporcjonalna,R0330,,,,,,,,,,,,,0,0,0,–3 208,–3 208
13,Udział zakładów reasekuracji,R0340,0,7 286,0,55 929,2 804,609,281 639,24 008,30 336,5,28,16 068,0,0,0,–786,417 925
14,Netto,R0400,22 398,28 531,0,1 439 646,905 843,8 844,247 225,140 177,30 041,287,84 169,8 899,0,0,0,–2 423,2 913 637
16,Brutto – Bezpośrednia działalność ubezpieczeniowa,R0410,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
17,Brutto – Przyjęta reasekuracja proporcjonalna,R0420,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
18,Brutto – Przyjęta reasekuracja nieproporcjonalna,R0430,,,,,,,,,,,,,0,0,0,0,0
19,Udział zakładów reasekuracji,R0440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Netto,R0500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Koszty poniesione,R0550,85 360,120 485,0,721 459,361 702,6 643,400 628,118 772,18 363,126,82 188,150 830,0,0,0,–36,2 066 519
22,Pozostałe koszty,R1200,,,,,,,,,,,,,,,,,170 145
23,Koszty ogółem,R1300,,,,,,,,,,,,,,,,,2 236 664
