Kod_S,Kod_C,Kod_R,Nazwa,Wartosc,rok,firma,description,code
S050102,C0010,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0,2022,Allianz,,
S050102,C0020,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,324 791,2022,Allianz,,
S050102,C0030,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0,2022,Allianz,,
S050102,C0040,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0,2022,Allianz,,
S050102,C0050,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0,2022,Allianz,,
S050102,C0060,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0,2022,Allianz,,
S050102,C0070,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0,2022,Allianz,,
S050102,C0080,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0,2022,Allianz,,
S050102,C0090,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0,2022,Allianz,,
S050102,C0100,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0,2022,Allianz,,
S050102,C0110,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0,2022,Allianz,,
S050102,C0120,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,0,2022,Allianz,,
S050102,C0200,R0110,Brutto – Bezpośrednia działalność ubezpieczeniowa,324 791,2022,Allianz,,
S050102,C0010,R0120,Brutto – reasekuracja czynna proporcjonalna,0,2022,Allianz,,
S050102,C0020,R0120,Brutto – reasekuracja czynna proporcjonalna,0,2022,Allianz,,
S050102,C0030,R0120,Brutto – reasekuracja czynna proporcjonalna,0,2022,Allianz,,
S050102,C0040,R0120,Brutto – reasekuracja czynna proporcjonalna,0,2022,Allianz,,
S050102,C0050,R0120,Brutto – reasekuracja czynna proporcjonalna,0,2022,Allianz,,
S050102,C0060,R0120,Brutto – reasekuracja czynna proporcjonalna,0,2022,Allianz,,
S050102,C0070,R0120,Brutto – reasekuracja czynna proporcjonalna,0,2022,Allianz,,
S050102,C0080,R0120,Brutto – reasekuracja czynna proporcjonalna,0,2022,Allianz,,
S050102,C0090,R0120,Brutto – reasekuracja czynna proporcjonalna,0,2022,Allianz,,
