Firma,Rok,Kod_S,Kod_C,Kod_R,Nazwa,Wartosc
Allianz,2022,S.02.01.02,C0010,R0050,Nadwyżka na funduszu świadczeń emerytalnych,0
Allianz,2022,S.02.01.02,C0010,R0060,"Nieruchomości, maszyny i wyposażenie (Rzeczowe aktywa trwałe) wykorzystywane na użytek własny",9 066
Allianz,2022,S.02.01.02,C0010,R0070,"Lokaty (inne niż aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i dla ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym)",5 853 538
Allianz,2022,S.02.01.02,C0010,R0080,Nieruchomości (inne niż do użytku własnego),0
Allianz,2022,S.02.01.02,C0010,R0090,"Udziały w jednostkach powiązanych, w tym udziały kapitałowe",1 095 513
Allianz,2022,S.02.01.02,C0010,R0100,Akcje i udziały,0
Allianz,2022,S.02.01.02,C0010,R0110,Akcje i udziały – notowane,0
Allianz,2022,S.02.01.02,C0010,R0120,Akcje i udziały – nienotowane,0
Allianz,2022,S.02.01.02,C0010,R0130,Dłużne papiery wartościowe,4 066 277
Allianz,2022,S.02.01.02,C0010,R0140,Obligacje państwowe,3 828 388
Allianz,2022,S.02.01.02,C0010,R0150,Obligacje korporacyjne,237 434
Allianz,2022,S.02.01.02,C0010,R0160,Strukturyzowane papiery wartościowe,455
Allianz,2022,S.02.01.02,C0010,R0170,Zabezpieczone papiery wartościowe,0
Allianz,2022,S.02.01.02,C0010,R0180,Jednostki uczestnictwa oraz certyfikaty inwestycyjne w przedsiębiorstwach zbiorowego inwestowania,321 740
Allianz,2022,S.02.01.02,C0010,R0190,Instrumenty pochodne,26 059
Allianz,2022,S.02.01.02,C0010,R0200,Depozyty inne niż ekwiwalenty środków pieniężnych,343 949
Allianz,2022,S.02.01.02,C0010,R0210,Pozostałe lokaty,0
