Firma,Rok,Kod_S,Kod_C,Kod_R,Nazwa,Wartosc
Allianz,2020,S.02.01.02,C0010,R0030,Wartości niematerialne i prawne,0
Allianz,2020,S.02.01.02,C0010,R0040,Aktywa z tytułu odroczonego podatku dochodowego,0
Allianz,2020,S.02.01.02,C0010,R0050,Nadwyżka na funduszu świadczeń emerytalnych,0
Allianz,2020,S.02.01.02,C0010,R0060,"Nieruchomości, maszyny i wyposażenie (Rzeczowe aktywa trwałe) wykorzystywane na użytek własny",8 368
Allianz,2020,S.02.01.02,C0010,R0070,"Lokaty (inne niż aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i dla ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym)",1 001 967
Allianz,2020,S.02.01.02,C0010,R0080,Nieruchomości (inne niż do użytku własnego),0
Allianz,2020,S.02.01.02,C0010,R0090,"Udziały w jednostkach powiązanych, w tym udziały kapitałowe",0
Allianz,2020,S.02.01.02,C0010,R0100,Akcje i udziały,0
Allianz,2020,S.02.01.02,C0010,R0110,Akcje i udziały – notowane,0
Allianz,2020,S.02.01.02,C0010,R0120,Akcje i udziały – nienotowane,0
Allianz,2020,S.02.01.02,C0010,R0130,Dłużne papiery wartościowe,875 297
Allianz,2020,S.02.01.02,C0010,R0140,Obligacje państwowe,875 297
Allianz,2020,S.02.01.02,C0010,R0150,Obligacje korporacyjne,0
Allianz,2020,S.02.01.02,C0010,R0160,Strukturyzowane papiery wartościowe,0
Allianz,2020,S.02.01.02,C0010,R0170,Zabezpieczone papiery wartościowe,0
Allianz,2020,S.02.01.02,C0010,R0180,Jednostki uczestnictwa oraz certyfikaty inwestycyjne w przedsiębiorstwach zbiorowego inwestowania,82 702
Allianz,2020,S.02.01.02,C0010,R0190,Instrumenty pochodne,900
Allianz,2020,S.02.01.02,C0010,R0200,Depozyty inne niż ekwiwalenty środków pieniężnych,43 068
Allianz,2020,S.02.01.02,C0010,R0210,Pozostałe lokaty,0
Allianz,2020,S.02.01.02,C0010,R0220,"Aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",1 742 697
Allianz,2020,S.02.01.02,C0010,R0230,Pożyczki i pożyczki zabezpieczone hipotecznie,0
Allianz,2020,S.02.01.02,C0010,R0240,Pożyczki pod zastaw polisy,0
Allianz,2020,S.02.01.02,C0010,R0250,Pożyczki i pożyczki zabezpieczone hipotecznie dla osób fizycznych,0
Allianz,2020,S.02.01.02,C0010,R0260,Pozostałe pożyczki i pożyczki zabezpieczone hipotecznie,0
Allianz,2020,S.02.01.02,C0010,R0270,Kwoty należne z umów reasekuracji dla zobowiązań wynikających z:,-8 879
Allianz,2020,S.02.01.02,C0010,R0280,Ubezpieczenia inne niż ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,0
Allianz,2020,S.02.01.02,C0010,R0290,Ubezpieczeń innych niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),0
Allianz,2020,S.02.01.02,C0010,R0300,Ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,0
Allianz,2020,S.02.01.02,C0010,R0310,"Ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie, z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone",-7 263
Allianz,2020,S.02.01.02,C0010,R0320,Ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie,0
Allianz,2020,S.02.01.02,C0010,R0330,"Ubezpieczenia na życie z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",-7 263
Allianz,2020,S.02.01.02,C0010,R0340,"Ubezpieczenia na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczenia na życie z ubezpieczeniowym funduszem kapitałowym",-1 616
Allianz,2020,S.02.01.02,C0010,R0350,Depozyty u cedentów,0
Allianz,2020,S.02.01.02,C0010,R0360,Należności z tytułu ubezpieczeń i od pośredników ubezpieczeniowych,16 830
Allianz,2020,S.02.01.02,C0010,R0370,Należności z tytułu reasekuracji biernej,0
Allianz,2020,S.02.01.02,C0010,R0380,"Pozostałe należności (handlowe, inne niż z działalności ubezpieczeniowej)",35 454
Allianz,2020,S.02.01.02,C0010,R0390,Akcje własne (posiadane bezpośrednio),0
Allianz,2020,S.02.01.02,C0010,R0400,"Kwoty należne, dotyczące pozycji środków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale które nie zostały jeszcze opłacone",0
Allianz,2020,S.02.01.02,C0010,R0410,Środki pieniężne i ekwiwalenty środków pieniężnych,1 177
Allianz,2020,S.02.01.02,C0010,R0420,Pozostałe aktywa (niewykazane w innych pozycjach),4 488
Allianz,2020,S.02.01.02,C0010,R0500,Aktywa ogółem,2 802 102
Allianz,2020,S.02.01.02,C0010,R0510,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,0
Allianz,2020,S.02.01.02,C0010,R0520,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),0
Allianz,2020,S.02.01.02,C0010,R0530,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0
Allianz,2020,S.02.01.02,C0010,R0540,Najlepsze oszacowanie,0
Allianz,2020,S.02.01.02,C0010,R0550,Margines ryzyka,0
