Firma,Rok,Kod_S,Kod_C,Kod_R,Nazwa,Wartosc
Allianz,2018,S.02.01.02,C0010,R0030,Warto(cid:1)ci niematerialne i prawne,0
Allianz,2018,S.02.01.02,C0010,R0040,Aktywa z tytułu odroczonego podatku dochodowego,0
Allianz,2018,S.02.01.02,C0010,R0050,Nadwy(cid:2)ka na funduszu (cid:1)wiadcze(cid:3) emerytalnych,0
Allianz,2018,S.02.01.02,C0010,R0060,"Nieruchomo(cid:1)ci, maszyny i wyposa(cid:2)enie (Rzeczowe aktywa trwałe) wykorzystywane na u(cid:2)ytek własny",995
Allianz,2018,S.02.01.02,C0010,R0070,"Lokaty (inne ni(cid:2) aktywa dla ubezpiecze(cid:3) na (cid:2)ycie, w których (cid:1)wiadczenie jest ustalane w oparciu o okre(cid:1)lone indeksy lub inne warto(cid:1)ci bazowe i dla ubezpiecze(cid:3) na (cid:2)ycie zwi(cid:4)zanych z ubezpieczeniowym funduszem kapitałowym)",829 912
Allianz,2018,S.02.01.02,C0010,R0080,Nieruchomo(cid:1)ci (inne ni(cid:2) do u(cid:2)ytku własnego),0
Allianz,2018,S.02.01.02,C0010,R0090,"Udziały w jednostkach powi(cid:4)zanych, w tym udziały kapitałowe",0
Allianz,2018,S.02.01.02,C0010,R0100,Akcje i udziały,0
Allianz,2018,S.02.01.02,C0010,R0110,Akcje i udziały – notowane,0
Allianz,2018,S.02.01.02,C0010,R0120,Akcje i udziały – nienotowane,0
Allianz,2018,S.02.01.02,C0010,R0130,Dłu(cid:2)ne papiery warto(cid:1)ciowe,725 738
Allianz,2018,S.02.01.02,C0010,R0140,Obligacje pa(cid:3)stwowe,725 738
Allianz,2018,S.02.01.02,C0010,R0150,Obligacje korporacyjne,0
Allianz,2018,S.02.01.02,C0010,R0160,Strukturyzowane papiery warto(cid:1)ciowe,0
Allianz,2018,S.02.01.02,C0010,R0170,Zabezpieczone papiery warto(cid:1)ciowe,0
Allianz,2018,S.02.01.02,C0010,R0180,Jednostki uczestnictwa oraz certyfikaty inwestycyjne w przedsi(cid:5)biorstwach zbiorowego inwestowania,72 858
Allianz,2018,S.02.01.02,C0010,R0190,Instrumenty pochodne,0
Allianz,2018,S.02.01.02,C0010,R0200,Depozyty inne ni(cid:2) ekwiwalenty (cid:1)rodków pieni(cid:5)(cid:2)nych,31 316
Allianz,2018,S.02.01.02,C0010,R0210,Pozostałe lokaty,0
Allianz,2018,S.02.01.02,C0010,R0220,"Aktywa dla ubezpiecze(cid:3) na (cid:2)ycie, w których (cid:1)wiadczenie jest ustalane w oparciu o okre(cid:1)lone indeksy lub inne warto(cid:1)ci bazowe i ubezpiecze(cid:3) na (cid:2)ycie zwi(cid:4)zanych z ubezpieczeniowym funduszem kapitałowym",1 728 883
Allianz,2018,S.02.01.02,C0010,R0230,Po(cid:2)yczki i po(cid:2)yczki zabezpieczone hipotecznie,0
Allianz,2018,S.02.01.02,C0010,R0240,Po(cid:2)yczki pod zastaw polisy,0
Allianz,2018,S.02.01.02,C0010,R0250,Po(cid:2)yczki i po(cid:2)yczki zabezpieczone hipotecznie dla osób fizycznych,0
Allianz,2018,S.02.01.02,C0010,R0260,Pozostałe po(cid:2)yczki i po(cid:2)yczki zabezpieczone hipotecznie,0
Allianz,2018,S.02.01.02,C0010,R0270,Kwoty nale(cid:2)ne z umów reasekuracji dla zobowi(cid:4)za(cid:3) wynikaj(cid:4)cych z:,-16 797
Allianz,2018,S.02.01.02,C0010,R0280,Ubezpieczenia inne ni(cid:2) ubezpieczenia na (cid:2)ycie i ubezpieczenia zdrowotne o charakterze ubezpiecze(cid:3) innych ni(cid:2) ubezpieczenia na (cid:2)ycie,0
Allianz,2018,S.02.01.02,C0010,R0290,Ubezpiecze(cid:3) innych ni(cid:2) ubezpieczenia na (cid:2)ycie (z wył(cid:4)czeniem zdrowotnych),0
Allianz,2018,S.02.01.02,C0010,R0300,Ubezpieczenia zdrowotne o charakterze ubezpiecze(cid:3) innych ni(cid:2) ubezpieczenia na (cid:2)ycie,0
